"trial","gen","n","gbar","zbar","wbar","pfem","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var"
1,1,100,-0.016,-0.0853135119218331,0.674725063482045,0.52,0.24,0.24,0.258292,100,0.0035,TRUE
1,2,35,-0.0914285714285714,-0.101823635965684,0.66709629746388,0.571428571428571,0.24,0.24,0.256342857142857,100,0.0035,TRUE
1,3,27,0.0518518518518519,0.233390512218685,0.811815864874212,0.555555555555556,0.24,0.24,0.256076817558299,100,0.0035,TRUE
1,4,19,0.105263157894737,0.225645923534717,0.890345690740252,0.421052631578947,0.24,0.24,0.250581717451524,100,0.0035,TRUE
1,5,12,0.283333333333333,-0.207537214364375,0.617243636781464,0.583333333333333,0.24,0.24,0.227638888888889,100,0.0035,TRUE
1,6,3,0.266666666666667,0.0534073090225271,0.749029833722011,1,0.4,0.32,0.0911111111111111,100,0.0035,TRUE
2,1,100,0.012,-0.0284455865650708,0.702713943362933,0.5,0.24,0.24,0.258724,100,0.0035,TRUE
2,2,45,0.0755555555555556,0.0722645461440525,0.76301298611102,0.422222222222222,0.24,0.24,0.253530864197531,100,0.0035,TRUE
2,3,30,0.146666666666667,0.208690363563846,0.835580903435324,0.433333333333333,0.24,0.24,0.249066666666667,100,0.0035,TRUE
2,4,17,0.376470588235294,0.534594657819155,1.00334310754967,0.529411764705882,0.24,0.24,0.241453287197232,100,0.0035,TRUE
2,5,19,0.168421052631579,0.474953994695086,0.973872999797055,0.421052631578947,0.24,0.24,0.234072022160665,100,0.0035,TRUE
2,6,9,-6.15585900155659e-18,0.0813786738426159,0.754768589190357,0.666666666666667,0.24,0.24,0.231851851851852,100,0.0035,TRUE
2,7,17,-0.211764705882353,-0.0351241527262234,0.714864073627847,0.647058823529412,0.24,0.24,0.229134948096886,100,0.0035,TRUE
2,8,11,0.0727272727272727,-0.0068069949909275,0.691574365677538,0.545454545454545,0.24,0.24,0.220661157024793,100,0.0035,TRUE
2,9,8,0.1,0.121903001848882,0.735118258620053,0.5,0.24,0.24,0.213125,100,0.0035,TRUE
2,10,5,0.08,0.361797864486831,0.888735697736184,0.4,0.28,0.24,0.2024,100,0.0035,TRUE
2,11,1,-0.4,-0.709024148814188,0.344421665013761,1,0.32,0.4,0.14,100,0.0035,TRUE
